Qui a écrit "Orgueil et Préjugés"?,Jane Austen,Charlotte Brontë,Emily Brontë,Charles Dickens
Quel est le plus grand océan du monde?,Pacifique,Atlantique,Indien,Antarctique
Quelle est la capitale de l'Espagne?,Madrid,Barcelone,Lisbonne,Rome
Quel est le plus grand canyon du monde?,Grand Canyon,Canyon de Chelly,Barranca del Cobre,Fish River Canyon
Qui a écrit "Roméo et Juliette"?,William Shakespeare,Oscar Wilde,Emily Brontë,Charles Dickens
Quelle est la capitale de l'Italie ?,Rome,Paris,Berlin,Londres
Qui a écrit "Le Petit Prince" ?,Antoine de Saint-Exupéry,Victor Hugo,Albert Camus,Marcel Proust
Quel est le plus grand lac d'Europe ?,Le lac Ladoga,Le lac Léman,Le lac Balaton,Le lac de Garde
Quelle est la plus grande île du monde ?,L'île de Groenland,L'île de Bornéo,L'île de Madagascar,L'île de Nouvelle-Guinée
Quel est le plus grand carnivore terrestre ?,L'ours blanc,Le lion,Le tigre,Le léopard
Qui a peint "La Nuit étoilée" ?,Vincent van Gogh,Claude Monet,Pablo Picasso,Edvard Munch
Quelle est la plus haute tour du monde actuellement ?,Burj Khalifa,Shanghai Tower,Abraj Al Bait Clock Tower,One World Trade Center
Quel est le plus long fleuve d'Europe ?,La Volga,Le Danube,Le Rhin,La Tamise
Qui a fondé Microsoft ?,Bill Gates,Steve Jobs,Mark Zuckerberg,Elon Musk
Quel est le plus grand ensemble de récifs coralliens du monde ?,La Grande Barrière de Corail,Les îles Maldives,Les îles Fidji,Les îles Caïmans
Qui a écrit "Don Quichotte" ?,Miguel de Cervantes,William Shakespeare,Franz Kafka,Leo Tolstoï
Quelle est la monnaie du Japon ?,Le yen,Le won,Le baht,Le ringgit
Quel est le plus grand mammifère marin ?,La baleine bleue,Le cachalot,L'orque,Le rorqual commun
Qui a découvert l'Amérique en 1492 ?,Christophe Colomb,Vasco de Gama,Ferdinand Magellan,Amerigo Vespucci
Quel est le plus grand océan en termes de superficie ?,L'océan Pacifique,L'océan Atlantique,L'océan Indien,L'océan Arctique
Quel pays est surnommé le "Pays du Matin Calme" ?,La Corée du Sud,Le Japon,Le Vietnam,La Thaïlande
Qui est l'auteur de "Orgueil et Préjugés" ?,Jane Austen,Charlotte Brontë,Emily Brontë,George Eliot
Quel est le plus grand parc national des États-Unis ?,Le parc national de Wrangell-St. Elias,Le parc national de Yellowstone,Le parc national de Yosemite,Le parc national de Grand Canyon
Quelle est la plus grande île du Japon ?,Honshu,Hokkaido,Kyushu,Shikoku
Quel est le plus haut sommet d'Afrique ?,Le mont Kilimandjaro,Le mont Kenya,Les monts Rwenzori,Le mont Elbrouz
Quel est le plus grand désert froid du monde ?,L'Antarctique,Le désert de Gobi,Le désert du Taklamakan,Le désert de l'Arctique
Quel est le plus grand poisson du monde ?,Le requin-baleine,Le cachalot,Le grand requin blanc,Le poisson-lune
Qui a conçu la théorie de la relativité restreinte ?,Albert Einstein,Isaac Newton,Niels Bohr,Stephen Hawking
Quelle est la plus grande île de la Méditerranée ?,La Sicile,La Sardaigne,La Corse,Chypre
Quel est le plus grand lac d'Afrique ?,Le lac Victoria,Le lac Tanganyika,Le lac Malawi,Le lac Albert
Quelle est la première dynastie de l'histoire de la Chine ?,La dynastie Xia,La dynastie Shang,La dynastie Zhou,La dynastie Qin
Quel est le plus grand mammifère terrestre carnivore ?,L'ours blanc,Le lion,Le tigre,Le léopard
Qui a composé la Symphonie n°9 en ré mineur, op. 125, aussi appelée la "Neuvième symphonie" ?,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Pyotr Ilyich Tchaikovsky
Quelle est la capitale de l'Australie ?,Canberra,Sydney,Melbourne,Brisbane
Quel est le plus grand canyon du monde ?,Le Grand Canyon,Le canyon de Colca,Le canyon de Fish River,Le canyon du Yarlung Tsangpo
Quel est le plus grand oiseau du monde ?,L'autruche,Le condor des Andes,Le casoar,Le kiwi
Qui a écrit "Les Trois Mousquetaires" ?,Alexandre Dumas,Gustave Flaubert,Victor Hugo,Honoré de Balzac
Quelle est la deuxième planète du système solaire ?,Vénus,Mars,Jupiter,Saturne
Quel est le plus grand arbre du monde ?,Le séquoia géant,Le baobab,Le douglas,Le pin de Bristlecone
Qui a peint "Les Tournesols" ?,Vincent van Gogh,Claude Monet,Pablo Picasso,Edvard Munch
Quelle est la première lettre de l'alphabet grec ?,Alpha,Bêta,Gamma,Delta
Quel est le plus grand fleuve d'Asie ?,Le Yangtsé,Le Gange,Le Mékong,L'Indus
Qui a écrit "Le Rouge et le Noir" ?,Stendhal,Gustave Flaubert,Victor Hugo,Honoré de Balzac
Quelle est la plus grande île du Canada ?,L'île de Baffin,L'île de Vancouver,L'île de Terre-Neuve,L'île Ellesmere
Quel est le plus grand mammifère marin carnivore ?,L'orque,Le cachalot,Le requin blanc,Le rorqual commun
Quelle est la monnaie de l'Inde ?,La roupie indienne,Le won sud-coréen,Le yuan chinois,Le baht thaïlandais
Quel est le plus grand lac des États-Unis ?,Le lac Supérieur,Le lac Michigan,Le lac Huron,Le lac Érié
Quel est le plus grand insecte du monde ?,La phasme de Chanée,Le scarabée Goliath,La sauterelle géante d'Amazonie,La libellule anax empereur
Quelle est la plus grande île du Danemark ?,L'île de Seeland,L'île de Fionie,L'île de Bornholm,L'île de Lolland
Qui a écrit "Le Chant du cygne" ?,Anton Tchekhov,Leo Tolstoï,Ivan Tourgueniev,Fiodor Dostoïevski
Quelle est la capitale du Canada ?,Ottawa,Toronto,Vancouver,Montreal
Qui a écrit "Crime et Châtiment" ?,Fiodor Dostoïevski,Leo Tolstoï,Anton Tchekhov,Ivan Tourgueniev
Quel est le plus grand océan du monde ?,L'océan Pacifique,L'océan Atlantique,L'océan Indien,L'océan Arctique
Quelle est la première lettre de l'alphabet hébreu ?,Aleph,Bet,Gimel,Daleth
Qui a conçu la théorie de l'évolution ?,Charles Darwin,Alfred Russel Wallace,Gregor Mendel,Thomas Huxley
Quel est le plus grand lac des États-Unis en superficie ?,Le lac Supérieur,Le lac Michigan,Le lac Huron,Le lac Érié
Qui a peint "Les Demoiselles d'Avignon" ?,Pablo Picasso,Claude Monet,Vincent van Gogh,Salvador Dalí
Quel est le plus grand désert chaud du monde ?,Le Sahara,Le désert de Sonora,Le désert de Kalahari,Le désert de Gobi
Quelle est la monnaie du Brésil ?,Le réal,Le peso,Le bolivar,Le dollar
Quelle est la deuxième planète la plus proche du soleil ?,Vénus,Mars,Jupiter,Saturne
Qui a écrit "La Guerre et la Paix" ?,Leo Tolstoï,Fiodor Dostoïevski,Anton Tchekhov,Ivan Tourgueniev
Quel est le plus grand insecte volant du monde ?,Le papillon Atlas,La mante religieuse,L'aigrette,La coccinelle
Quelle est la monnaie de l'Afrique du Sud ?,Le rand,Le dollar,Le shilling,La roupie
Quel est le plus grand animal terrestre ?,L'éléphant d'Afrique,Le rhinocéros,Le bison d'Amérique,Le girafe
Qui a écrit "Le Parfum" ?,Patrick Süskind,Hermann Hesse,Thomas Mann,Franz Kafka
Quelle est la plus grande chaîne de montagnes du monde ?,L'Himalaya,Les Alpes,Les Rocheuses,Les Andes
Quel est le plus grand océan en termes de profondeur ?,L'océan Pacifique,L'océan Atlantique,L'océan Indien,L'océan Arctique
Qui a découvert la radioactivité ?,Marie Curie,Pierre Curie,Ernest Rutherford,Henri Becquerel
Quelle est la monnaie de la Russie ?,Le rouble russe,Le hryvnia ukrainien,Le tenge kazakh,La livre sterling
